startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2007,Avenue Q,Golden,Musical,5177,81,349841,8
2007,Beauty And The Beast,Lunt-Fontanne,Musical,11876,98,723533,8
2007,Chicago,Ambassador,Musical,7996,93,555779,8
2007,Company 06,Ethel Barrymore,Musical,5219,62,331414,8
2007,Curtains,Al Hirschfeld,Musical,9569,84,653484,0
2007,Grey Gardens,Walter Kerr,Musical,5260,71,364540,8
2007,Hairspray,Neil Simon,Musical,10463,92,660505,8
2007,Jersey Boys,August Wilson,Musical,9843,101,1160591,8
2007,Journey'S End,Belasco,Play,3453,42,160856,8
2007,Les Miserables 2006,Broadhurst,Musical,7948,89,612192,8
2007,Mamma Mia!,Winter Garden,Musical,11728,98,867128,8
2007,Mary Poppins,New Amsterdam,Musical,14270,100,1188689,8
2007,Monty Python'S Spamalot,Shubert,Musical,10450,91,836446,8
2007,Prelude To A Kiss 2007,American Airlines,Play,4060,69,170071,8
2007,Rent,Nederlander,Musical,7371,78,425879,8
2007,Spring Awakening,Eugene O'Neill,Musical,7282,84,535772,8
2007,Talk Radio,Longacre,Play,5113,58,267631,8
2007,Tarzan,Richard Rodgers,Musical,9582,91,644115,8
2007,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4212,77,229002,8
2007,The Coast Of Utopia,Vivian Beaumont,Play,6720,92,576164,7
2007,The Color Purple,Broadway,Musical,11177,81,718899,8
2007,The Drowsy Chaperone,Marquis,Musical,11306,88,828384,8
2007,The Lion King,Minskoff,Musical,12687,99,1129632,8
2007,The Phantom Of The Opera,Majestic,Musical,12315,96,780406,8
2007,The Pirate Queen,Hilton Theatre,Musical,10210,81,590498,0
2007,The Producers,St. James,Musical,6969,51,429558,8
2007,The Year Of Magical Thinking,Booth,Play,5202,95,408605,0
2007,Wicked,Gershwin,Musical,14472,100,1388693,8
2007,A Chorus Line '06,Schoenfeld,Musical,7592,89,673043,8
2007,Avenue Q,Golden,Musical,5355,84,373086,8
2007,Beauty And The Beast,Lunt-Fontanne,Musical,11354,94,723009,8
2007,Chicago,Ambassador,Musical,7960,92,574212,8
2007,Company 06,Ethel Barrymore,Musical,4731,57,314585,8
2007,Curtains,Al Hirschfeld,Musical,9287,82,678568,5
2007,Grey Gardens,Walter Kerr,Musical,5267,71,385301,8
2007,Hairspray,Neil Simon,Musical,10200,89,643369,8
2007,Inherit The Wind 07,Lyceum,Play,4821,74,355133,0
2007,Jersey Boys,August Wilson,Musical,9843,101,1166505,8
2007,Journey'S End,Belasco,Play,3352,41,157884,8
2007,Les Miserables 2006,Broadhurst,Musical,8656,96,655510,8
2007,Mamma Mia!,Winter Garden,Musical,11546,96,872165,8
2007,Mary Poppins,New Amsterdam,Musical,14100,98,1138310,8
2007,Monty Python'S Spamalot,Shubert,Musical,11507,100,892719,8
2007,Prelude To A Kiss 2007,American Airlines,Play,4630,78,198534,8
2007,Rent,Nederlander,Musical,7538,80,418196,8
2007,Spring Awakening,Eugene O'Neill,Musical,7541,86,578437,8
2007,Talk Radio,Longacre,Play,5378,61,305723,8
2007,Tarzan,Richard Rodgers,Musical,9235,88,608998,8
2007,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4307,79,251860,8
2007,The Coast Of Utopia,Vivian Beaumont,Play,6593,90,569335,7
2007,The Color Purple,Broadway,Musical,11983,87,795171,8
2007,The Drowsy Chaperone,Marquis,Musical,10006,78,776978,8
2007,The Lion King,Minskoff,Musical,12689,99,1156852,8
2007,The Phantom Of The Opera,Majestic,Musical,11606,90,759446,8
2007,The Pirate Queen,Hilton Theatre,Musical,10243,81,627400,0
2007,The Producers,St. James,Musical,7362,54,454395,8
2007,The Year Of Magical Thinking,Booth,Play,5252,96,417124,0
2007,Wicked,Gershwin,Musical,14472,100,1380917,8
2007,A Chorus Line '06,Schoenfeld,Musical,7903,92,694127,8
2007,A Moon For The Misbegotten 07,Brooks Atkinson,Play,4500,87,400224,0
2007,Avenue Q,Golden,Musical,5584,88,384735,8
2007,Beauty And The Beast,Lunt-Fontanne,Musical,11739,97,776278,8
2007,Chicago,Ambassador,Musical,7344,85,509954,8
2007,Company 06,Ethel Barrymore,Musical,3963,47,253502,8
2007,Curtains,Al Hirschfeld,Musical,10043,88,754916,8
2007,Frost/Nixon,Jacobs,Play,971,89,52085,0
2007,Grey Gardens,Walter Kerr,Musical,4552,62,328779,8
2007,Hairspray,Neil Simon,Musical,10484,92,660069,8
2007,Inherit The Wind 07,Lyceum,Play,5943,79,394183,0
2007,Jersey Boys,August Wilson,Musical,9836,101,1154445,8
2007,Journey'S End,Belasco,Play,2910,36,147849,8
2007,Les Miserables 2006,Broadhurst,Musical,8990,100,665549,8
2007,Mamma Mia!,Winter Garden,Musical,11651,97,907245,8
2007,Mary Poppins,New Amsterdam,Musical,14123,99,1153161,8
2007,Monty Python'S Spamalot,Shubert,Musical,11531,100,908385,8
2007,Prelude To A Kiss 2007,American Airlines,Play,3903,66,171464,8
