startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2006,The Little Dog Laughed,Cort,Play,3694,43,193010,8
2006,The Phantom Of The Opera,Majestic,Musical,12327,96,982374,8
2006,The Producers,St. James,Musical,8567,63,612021,8
2006,The Vertical Hour,Music Box,Play,7887,99,589239,0
2006,The Wedding Singer,Al Hirschfeld,Musical,7896,69,549906,8
2006,Wicked,Gershwin,Musical,14472,100,1715156,8
2006,A Chorus Line '06,Schoenfeld,Musical,8020,94,823870,8
2006,Avenue Q,Golden,Musical,5160,81,355492,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,8880,74,623866,8
2006,Butley,Booth,Play,5045,81,389958,8
2006,Chicago,Ambassador,Musical,7340,85,526035,8
2006,Company 06,Ethel Barrymore,Musical,6001,71,435511,6
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,19430,89,1411528,12
2006,Grey Gardens,Walter Kerr,Musical,6097,83,507563,8
2006,Hairspray,Neil Simon,Musical,8204,72,560941,8
2006,Heartbreak House,American Airlines,Play,5156,87,244112,8
2006,High Fidelity,Imperial,Musical,5217,45,271459,0
